FECHA;HORA;G2_VT_1RLA;G2_VT_1RLO;G2_VT_2RLA;G2_VT_2RLO;G2_VT_ALO;G2_JT_GEN_P;G2_ZT_INY1;G2_ZT_INY2;G2_ZT_INY3;G2_ZT_INY4;G2_ZT_INY5;G2_ZT_INY6
19-07-2019;10:52:55;1.46975;0.479133;1.16106;0.251316;0.454566;13530;43.6515;43.331;41.2802;43.3036;43.3036;43.6469
19-07-2019;10:52:56;1.31563;0.464179;1.08949;0.235904;0.465553;13540;43.6515;43.2959;41.3153;43.3036;43.3448;43.6469
19-07-2019;10:52:57;1.36446;0.464179;1.24392;0.205997;0.454566;13530;43.6118;43.2959;41.2802;43.3448;43.3448;43.6469
19-07-2019;10:52:58;1.27443;0.479133;1.14214;0.235904;0.424048;13530;43.6118;43.3707;41.2802;43.3036;43.3448;43.6469
19-07-2019;10:52:59;1.4136;0.471504;1.17266;0.22858;0.439155;13530;43.6515;43.331;41.2421;43.3036;43.3448;43.6866
19-07-2019;10:53:00;1.27031;0.460212;1.08949;0.26215;0.439155;13540;43.6118;43.331;41.2802;43.3448;43.3036;43.6866
19-07-2019;10:53:01;1.27794;0.467994;1.16854;0.239719;0.435645;13540;43.6118;43.2959;41.2421;43.2685;43.3036;43.6469
19-07-2019;10:53:02;1.30816;0.467994;1.08202;0.205997;0.401923;13540;43.6515;43.331;41.3153;43.2685;43.3036;43.6469
19-07-2019;10:53:03;1.33074;0.467994;1.2517;0.205997;0.488289;13540;43.6515;43.2959;41.2421;43.3036;43.3036;43.6469
19-07-2019;10:53:04;1.25551;0.460212;1.18395;0.198672;0.472877;13540;43.6118;43.331;41.2421;43.3448;43.3448;43.6469
19-07-2019;10:53:05;1.27443;0.479133;1.17998;0.213474;0.476692;13530;43.6118;43.3707;41.2802;43.2685;43.3448;43.6469
19-07-2019;10:53:06;1.26299;0.467994;0.980545;0.216983;0.450446;13530;43.6118;43.331;41.2421;43.3036;43.3448;43.6866
19-07-2019;10:53:07;1.52621;0.483101;1.31914;0.221103;0.491798;13530;43.6515;43.331;41.2421;43.2685;43.3036;43.6088
19-07-2019;10:53:08;1.42824;0.475624;1.22118;0.221103;0.462043;13550;43.6118;43.2959;41.2421;43.2685;43.3036;43.6866
